,Index,Label,X,Y,Z,User
382103,382103.000000,0,2.828000,3.141000,-3.090000,P1
382104,382104.000000,0,3.516000,2.836000,-3.184000,P1
382105,382105.000000,0,3.512000,2.813000,-3.059000,P1
382106,382106.000000,0,3.109000,3.348000,-2.871000,P1
382107,382107.000000,0,2.605000,4.375000,-2.816000,P1
382108,382108.000000,0,2.195000,5.512000,-2.824000,P1
382109,382109.000000,0,2.043000,6.746000,-2.914000,P1
382110,382110.000000,0,1.883000,7.020000,-2.781000,P1
382111,382111.000000,0,1.176000,4.160000,-1.945000,P1
382112,382112.000000,0,0.305000,3.594000,-1.570000,P1
382113,382113.000000,0,-0.281000,3.652000,-1.043000,P1
382114,382114.000000,0,-0.668000,1.910000,-0.375000,P1
382115,382115.000000,0,-3.375000,0.551000,-0.895000,P1
382116,382116.000000,0,-3.707000,0.543000,0.152000,P1
382117,382117.000000,0,-0.234000,3.535000,0.898000,P1
382118,382118.000000,0,-0.672000,3.902000,1.172000,P1
382119,382119.000000,0,-5.090000,3.922000,1.594000,P1
382120,382120.000000,0,-6.492000,3.578000,1.980000,P1
382121,382121.000000,0,-5.133000,2.535000,3.457000,P1
382122,382122.000000,0,-3.207000,2.617000,4.230000,P1
382123,382123.000000,0,-3.176000,1.852000,6.219000,P1
382124,382124.000000,0,-2.520000,0.434000,5.781000,P1
382125,382125.000000,0,-0.746000,-0.156000,5.234000,P1
382126,382126.000000,0,-0.887000,2.902000,2.031000,P1
382127,382127.000000,0,-1.426000,3.008000,-1.879000,P1
382128,382128.000000,0,-0.230000,2.055000,-1.398000,P1
382129,382129.000000,0,1.270000,0.797000,-0.316000,P1
382130,382130.000000,0,2.191000,0.848000,0.574000,P1
382131,382131.000000,0,0.891000,1.156000,0.742000,P1
382132,382132.000000,0,-0.656000,1.387000,0.820000,P1
382133,382133.000000,0,-1.195000,1.379000,0.406000,P1
382134,382134.000000,0,-0.523000,1.012000,0.055000,P1
382135,382135.000000,0,-0.039000,0.598000,-0.004000,P1
382136,382136.000000,0,-0.500000,0.656000,0.301000,P1
382137,382137.000000,0,-0.402000,0.926000,0.043000,P1
382138,382138.000000,0,0.203000,1.016000,-0.309000,P1
382139,382139.000000,0,0.184000,0.969000,-0.164000,P1
382140,382140.000000,0,-0.230000,0.895000,0.168000,P1
382141,382141.000000,0,-0.199000,0.945000,0.305000,P1
382142,382142.000000,0,0.203000,1.105000,0.164000,P1
382143,382143.000000,0,0.473000,1.270000,-0.012000,P1
382144,382144.000000,0,0.547000,1.328000,-0.031000,P1
382145,382145.000000,0,0.570000,1.336000,0.027000,P1
382146,382146.000000,0,0.590000,1.340000,0.105000,P1
382147,382147.000000,0,0.578000,1.340000,0.109000,P1
382148,382148.000000,0,0.535000,1.262000,-0.020000,P1
382149,382149.000000,0,0.508000,1.094000,-0.168000,P1
382150,382150.000000,0,0.484000,0.996000,-0.152000,P1
384341,384341.000000,0,1.191000,1.645000,-0.293000,P1
384342,384342.000000,0,1.723000,1.648000,-0.617000,P1
384343,384343.000000,0,2.113000,1.703000,-0.945000,P1
384344,384344.000000,0,2.301000,1.910000,-1.316000,P1
384345,384345.000000,0,2.363000,2.406000,-1.512000,P1
384346,384346.000000,0,2.453000,2.934000,-1.496000,P1
384347,384347.000000,0,2.305000,3.215000,-1.520000,P1
384348,384348.000000,0,1.746000,3.570000,-1.699000,P1
384349,384349.000000,0,1.316000,3.891000,-2.125000,P1
384350,384350.000000,0,1.395000,3.758000,-2.660000,P1
384351,384351.000000,0,2.262000,3.164000,-2.980000,P1
384352,384352.000000,0,3.203000,2.887000,-3.156000,P1
384353,384353.000000,0,3.176000,2.879000,-3.211000,P1
384354,384354.000000,0,2.551000,2.848000,-3.137000,P1
384355,384355.000000,0,2.301000,3.098000,-2.949000,P1
384356,384356.000000,0,2.367000,3.711000,-2.828000,P1
384357,384357.000000,0,2.359000,4.547000,-2.836000,P1
384358,384358.000000,0,2.238000,5.754000,-2.758000,P1
384359,384359.000000,0,2.188000,6.988000,-2.660000,P1
384360,384360.000000,0,1.379000,5.480000,-2.023000,P1
384361,384361.000000,0,0.422000,3.664000,-1.559000,P1
384362,384362.000000,0,-0.586000,3.414000,-1.199000,P1
384363,384363.000000,0,-0.863000,1.516000,-0.402000,P1
384364,384364.000000,0,-0.754000,0.664000,-0.871000,P1
384365,384365.000000,0,-3.117000,0.027000,-0.523000,P1
384366,384366.000000,0,-2.391000,0.797000,2.465000,P1
384367,384367.000000,0,1.906000,2.359000,1.582000,P1
384368,384368.000000,0,1.574000,1.879000,-0.813000,P1
384369,384369.000000,0,-2.332000,1.559000,-0.922000,P1
384370,384370.000000,0,-3.840000,0.867000,1.000000,P1
384371,384371.000000,0,-3.578000,0.066000,3.051000,P1
384372,384372.000000,0,-2.242000,0.746000,3.691000,P1
384373,384373.000000,0,-3.363000,1.020000,4.242000,P1
384374,384374.000000,0,-2.840000,0.152000,4.621000,P1
384375,384375.000000,0,-0.453000,1.570000,1.895000,P1
384376,384376.000000,0,-1.426000,3.898000,-2.039000,P1
384377,384377.000000,0,-1.945000,1.117000,-0.426000,P1
384378,384378.000000,0,-0.664000,-1.926000,1.074000,P1
384379,384379.000000,0,1.289000,-0.484000,1.145000,P1
384380,384380.000000,0,1.273000,1.316000,0.348000,P1
384381,384381.000000,0,0.063000,1.570000,0.348000,P1
384382,384382.000000,0,-1.074000,1.113000,0.738000,P1
384383,384383.000000,0,-0.910000,1.195000,0.594000,P1
384384,384384.000000,0,-0.137000,1.168000,0.063000,P1
384385,384385.000000,0,-0.277000,0.930000,-0.121000,P1
384386,384386.000000,0,-0.512000,0.984000,0.137000,P1
384387,384387.000000,0,-0.352000,1.148000,0.395000,P1
384388,384388.000000,0,-0.180000,1.117000,0.352000,P1
384389,384389.000000,0,-0.105000,1.016000,0.086000,P1
384390,384390.000000,0,0.012000,1.027000,-0.066000,P1
384391,384391.000000,0,0.188000,1.102000,-0.102000,P1
384392,384392.000000,0,0.324000,1.070000,-0.008000,P1
384393,384393.000000,0,0.313000,1.016000,0.078000,P1
384394,384394.000000,0,0.262000,1.117000,0.109000,P1
384395,384395.000000,0,0.223000,1.270000,0.094000,P1
384396,384396.000000,0,0.152000,1.246000,0.055000,P1
384397,384397.000000,0,0.074000,1.145000,0.023000,P1
384398,384398.000000,0,0.012000,1.121000,-0.051000,P1
384399,384399.000000,0,-0.047000,1.184000,-0.129000,P1
